,variable,value
3,beta1,-7.098864976487534
0,"c1,1",4.508696601498059
1,"c1,2",2.098126259052117
2,"c1,3",-9.586433268684743
3,beta1,-6.059124575203301
0,"c1,1",4.355021084723027
1,"c1,2",2.226838066367561
2,"c1,3",-9.456939998667915
3,beta1,-5.9322379972023285
0,"c1,1",4.768888672921766
1,"c1,2",2.203882711953673
2,"c1,3",-9.735131437266439
3,beta1,-5.787886838405425
