,Unnamed: 0,MSE,MSE_log,Chi-Squared-Error
0,0,4.423349056603773,0.2060904639693268,0.7074912148195359
1,1,4.131828978622328,0.2083809312173222,0.7208228796652872
2,2,4.2064056939501775,0.203637962985218,0.7219436113156009
3,3,3.853628536285363,0.2077815058453835,0.6909262126727254
4,4,4.407779171894605,0.2132816104048066,0.7522243137661072
5,5,4.312876052948255,0.2046406873339614,0.725329294894861
6,6,3.9119804400977993,0.2009929852322097,0.6710157221334528
7,7,4.419612314709236,0.1874697222838414,0.6727274305237062
8,8,3.9976303317535535,0.2119868980780418,0.7088690691045229
9,9,3.912883435582822,0.1945301244719238,0.6706797233953021
10,10,3.644859813084112,0.2172216060220922,0.6787806770771674
11,11,4.96374269005848,0.2123310095655235,0.7538949028866009
12,12,4.4373522458628845,0.2207333662536281,0.7491799620924386
13,13,3.5911730545876885,0.2015561019584992,0.6825115166215386
14,14,4.269423558897243,0.2124862021491266,0.716805762662037
15,15,4.105568445475639,0.1971591617626582,0.6694308295951604
16,16,4.373152709359606,0.2085898580524061,0.7422331626588907
17,17,3.726823238566131,0.2094845945114652,0.6668954909397286
18,18,3.978947368421053,0.2219494442582762,0.7358324313411654
19,19,4.481220657276995,0.1888909112894185,0.7007396237869031
20,20,4.206088992974239,0.2219783014501798,0.7434238388177777
21,21,4.465667915106117,0.2148330052302177,0.7240727049483707
22,22,4.56243093922652,0.2033251339693514,0.7108324720767931
23,23,4.391891891891892,0.1808481361990914,0.6488314404720167
24,24,3.77245508982036,0.2037003412543605,0.6689951322637951
25,25,3.980861244019138,0.1999664880165663,0.6838283244660817
26,26,3.7137637028014616,0.2055459339762373,0.684182914965632
27,27,4.216019417475728,0.2253218829378562,0.7448879166930787
28,28,3.807416267942584,0.1827722094930727,0.6567870783941988
29,29,4.232346241457859,0.1902100398085738,0.6647418874791897
30,30,4.180476730987515,0.1960326311667816,0.692940173287036
31,31,3.902612826603325,0.2102698765993574,0.6858900980182455
32,32,3.6389891696750905,0.1994929894150994,0.6826388961125053
33,33,4.143203883495145,0.1874541295556217,0.6638084289943005
34,34,4.167053364269141,0.2078310702443206,0.7228634237223184
35,35,3.545664739884393,0.2097888271263045,0.6547599097769016
36,36,4.273153575615475,0.2075481751054669,0.6881522127224364
37,37,4.078502415458937,0.189972892886151,0.6525906891819983
38,38,3.776456599286564,0.2138599721734459,0.6612709140500168
39,0,4.308894230769231,0.1870590958491556,0.6769008095572265
40,1,4.386206896551724,0.1816705750807212,0.6562933414792682
41,2,4.0608591885441525,0.189599250727978,0.6796114229962034
42,3,4.573264781491003,0.2292020715027209,0.7597904811657687
43,4,4.567931456548347,0.2083848230683616,0.7439136855373759
44,5,4.711401425178147,0.2057054331724127,0.7061076726795924
45,6,3.883720930232558,0.1895100633013168,0.6570497616925572
46,7,4.193087008343266,0.2120172165173933,0.7047248528996888
47,8,3.752701080432173,0.2013345015035307,0.676105728329384
48,9,4.134872417982989,0.1947307426562009,0.6540119349603077
49,10,3.557213930348259,0.1958615214166042,0.6528269786270514
50,11,4.07177033492823,0.1914300753483891,0.6712567383764929
51,12,3.751201923076923,0.1971063323264369,0.6483521942162275
52,13,3.3642691415313224,0.210044876594357,0.6763149564062635
53,14,4.069852941176471,0.1981998677006321,0.633481048465724
54,0,4.172985781990521,0.2029432829692658,0.6976179851076028
55,1,3.833551769331586,0.2066170020126087,0.6741221084447776
56,2,4.0897583429229,0.2196535551200213,0.7247151500390565
57,3,4.2714776632302405,0.2255668284053822,0.7481787551116585
58,4,4.029239766081871,0.2173182391834336,0.7001046660243868
59,5,4.214953271028038,0.2313192876208332,0.7423511487431723
60,6,4.704938271604938,0.2039857373811843,0.7490931713756179
61,7,4.366745283018868,0.2198549111908249,0.7365951436300028
62,8,3.761006289308176,0.1980570077930806,0.6846259201754558
63,9,4.222490931076179,0.2031122224696105,0.7124123772675832
64,10,4.210280373831775,0.2071926263969651,0.693174181428163
65,11,3.997563946406821,0.2010812497538196,0.6830762916050718
66,0,4.346153846153846,0.1883322509409491,0.6840820028605739
67,1,4.610070257611241,0.2067024758957596,0.7180110179863244
68,2,3.8697225572979495,0.2000985583924109,0.6741597312808066
69,3,3.5860465116279068,0.201432051376313,0.6751391433054349
70,4,3.928403755868545,0.2180042722467567,0.6915167251178675
71,5,4.989051094890511,0.1965900130268908,0.7296256797663545
72,6,3.979665071770335,0.2010093165584678,0.6780715628679352
73,7,3.6435868331441545,0.1946005702813612,0.6184335022973129
74,8,4.123470522803115,0.207530290886441,0.7016612767553355
75,9,3.834164588528678,0.2177250815909201,0.6852286678415238
