,Sensitivity,Specificity,Accuracy
0,0.9323671497584541,0.918854415274463,0.9255702280912365
1,0.9504716981132075,0.937799043062201,0.9441805225653207
2,0.9345794392523364,0.9547619047619048,0.9445754716981132
3,0.9219512195121952,0.9479905437352246,0.9351740696278511
4,0.918918918918919,0.9353448275862069,0.9273127753303965
5,0.9151193633952255,0.9449760765550239,0.9308176100628931
6,0.9397590361445783,0.9641025641025641,0.9515527950310559
7,0.9512195121951219,0.9548693586698337,0.9530685920577617
8,0.9236276849642004,0.9172749391727494,0.9204819277108434
9,0.941025641025641,0.927400468384075,0.9339045287637698
10,0.9406175771971497,0.9454545454545454,0.943089430894309
11,0.9528535980148883,0.9,0.9246813441483198
12,0.9532293986636972,0.9312039312039312,0.9427570093457944
13,0.9345088161209067,0.9399038461538461,0.9372693726937269
14,0.9532019704433498,0.8879310344827587,0.9183908045977012
15,0.9538784067085954,0.8987341772151899,0.9288990825688074
16,0.9247058823529412,0.953810623556582,0.9393939393939394
17,0.935251798561151,0.9316628701594533,0.9334112149532711
18,0.9219143576826196,0.9429223744292238,0.932934131736527
19,0.9402985074626866,0.9491916859122402,0.9449101796407186
20,0.9370629370629371,0.9321663019693655,0.9345372460496614
21,0.9341825902335457,0.9439024390243902,0.9387060158910329
22,0.9285714285714286,0.9420289855072463,0.9354838709677419
23,0.9428571428571428,0.9364705882352942,0.9397727272727273
24,0.9303944315545244,0.941320293398533,0.9357142857142857
25,0.9361179361179361,0.9295774647887324,0.9327731092436975
26,0.9276485788113695,0.9420654911838791,0.9349489795918368
27,0.9224806201550387,0.9143518518518519,0.9181929181929182
28,0.9354066985645934,0.9336609336609336,0.9345454545454546
29,0.9369158878504673,0.9222222222222223,0.929384965831435
30,0.9270833333333334,0.9274725274725275,0.9272727272727272
31,0.9292237442922374,0.9609756097560975,0.9445754716981132
32,0.9462616822429907,0.9365079365079365,0.9413118527042578
33,0.9323671497584541,0.926829268292683,0.9296116504854369
34,0.9431818181818182,0.9405286343612335,0.941834451901566
35,0.9340909090909091,0.9455782312925171,0.9398410896708286
36,0.925601750547046,0.9232613908872902,0.9244851258581236
37,0.9352331606217616,0.9312039312039312,0.9331651954602774
38,0.9152119700748129,0.952054794520548,0.9344457687723481
39,0.9507042253521126,0.900990099009901,0.9265060240963855
40,0.935251798561151,0.9131455399061033,0.9240806642941874
41,0.9133489461358314,0.9606481481481481,0.9371362048894063
42,0.9357798165137615,0.9264367816091954,0.931113662456946
43,0.9477272727272728,0.9090909090909091,0.9291617473435655
44,0.9485981308411215,0.9350961538461539,0.9419431279620853
45,0.936768149882904,0.9427917620137299,0.9398148148148148
46,0.9236276849642004,0.9170305676855895,0.9201824401368301
47,0.9302884615384616,0.9271523178807947,0.9286536248561565
48,0.9514348785871964,0.9315068493150684,0.941638608305275
49,0.9323308270676691,0.9444444444444444,0.9386281588447654
50,0.9207920792079208,0.9419191919191919,0.93125
51,0.9503722084367245,0.9431818181818182,0.9466192170818505
52,0.9472361809045227,0.9425837320574163,0.9448529411764706
53,0.9342465753424658,0.9392523364485982,0.9369482976040353
54,0.954233409610984,0.9304932735426009,0.942242355605889
55,0.947242206235012,0.9241071428571429,0.9352601156069364
56,0.9240837696335078,0.9449152542372882,0.9355971896955504
57,0.9287469287469288,0.9322799097065463,0.9305882352941176
58,0.9302884615384616,0.9285714285714286,0.9293981481481481
59,0.9320843091334895,0.9719626168224299,0.952046783625731
60,0.9321608040201005,0.9244444444444444,0.9280660377358491
61,0.9524838012958964,0.9328703703703703,0.9430167597765363
62,0.9258312020460358,0.9447983014861996,0.9361948955916474
63,0.9228855721393034,0.9288990825688074,0.9260143198090692
64,0.9318181818181818,0.9562043795620438,0.9435957696827262
65,0.9582309582309583,0.9220489977728286,0.9392523364485982
66,0.9376443418013857,0.8981900452488688,0.9177142857142857
67,0.9568733153638814,0.9311111111111111,0.9427527405602923
68,0.9456264775413712,0.9243498817966903,0.9349881796690307
69,0.9486552567237164,0.9302884615384616,0.9393939393939394
70,0.9554973821989529,0.9206349206349206,0.93681652490887
71,0.9209876543209876,0.9395833333333333,0.9310734463276836
72,0.957286432160804,0.9370786516853933,0.9466192170818505
73,0.915948275862069,0.9519230769230769,0.9329545454545455
74,0.9662650602409638,0.9206730769230769,0.9434416365824309
75,0.9539951573849879,0.9324618736383442,0.9426605504587156
76,0.9211822660098522,0.9287469287469288,0.9249692496924969
77,0.9357798165137615,0.9123222748815166,0.9242424242424242
78,0.9285714285714286,0.9498806682577565,0.9392133492252682
79,0.9396984924623115,0.961352657004831,0.9507389162561576
80,0.957345971563981,0.9184652278177458,0.9380214541120382
81,0.9439024390243902,0.9457547169811321,0.9448441247002398
82,0.9334975369458128,0.9265402843601895,0.9299516908212561
83,0.947242206235012,0.9139784946236559,0.9297052154195011
84,0.9481132075471698,0.9465116279069767,0.9473067915690867
85,0.9425587467362925,0.9234338747099768,0.9324324324324325
86,0.9473684210526315,0.9090909090909091,0.9288486416558862
87,0.9550827423167849,0.9477611940298507,0.9515151515151515
88,0.959079283887468,0.9449339207048458,0.9514792899408284
89,0.9154589371980676,0.9483146067415731,0.9324796274738067
90,0.9474940334128878,0.9386189258312021,0.9432098765432099
91,0.9285714285714286,0.9272300469483568,0.9278959810874704
92,0.9266503667481663,0.952054794520548,0.9397874852420307
93,0.9192399049881235,0.9484029484029484,0.9335748792270532
94,0.948019801980198,0.9075425790754258,0.9276073619631902
95,0.9567567567567568,0.9318181818181818,0.9432098765432099
96,0.917989417989418,0.9128540305010894,0.9151732377538829
97,0.9367396593673966,0.9480812641083521,0.9426229508196722
98,0.9392523364485982,0.9331797235023042,0.9361948955916474
99,0.9491525423728814,0.9326683291770573,0.941031941031941
